\u0001f463, _emoj_footprints_ 
\u0001f464, _emoj_bust_in_silhouette_ 
\u0001f465, _emoj_busts_in_silhouette_ 
\u0001f466, _emoj_boy_ 
\u0001f467, _emoj_girl_ 
\u0001f468, _emoj_man_ 
\u0001f469, _emoj_woman_ 
\u0001f46a, _emoj_family_ 
\u0001f46b, _emoj_couple_ 
\u0001f46c, _emoj_two_men_holding_hands_ 
\u0001f46d, _emoj_two_women_holding_hands_ 
\u0001f46e, _emoj_cop_ 
\u0001f46f, _emoj_dancers_ 
\u0001f470, _emoj_bride_with_veil_ 
\u0001f471, _emoj_person_with_blond_hair_ 
\u0001f472, _emoj_man_with_gua_pi_mao_ 
\u0001f473, _emoj_man_with_turban_ 
\u0001f474, _emoj_older_man_ 
\u0001f475, _emoj_older_woman_ 
\u0001f476, _emoj_baby_ 
\u0001f477, _emoj_construction_worker_ 
\u0001f478, _emoj_princess_ 
\u0001f479, _emoj_japanese_ogre_ 
\u0001f47a, _emoj_japanese_goblin_ 
\u0001f47b, _emoj_ghost_ 
\u0001f47c, _emoj_angel_ 
\u0001f47d, _emoj_alien_ 
\u0001f47e, _emoj_space_invader_ 
\u0001f47f, _emoj_imp_ 
\u0001f480, _emoj_skull_ 
\u0001f481, _emoj_information_desk_person_ 
\u0001f482, _emoj_guardsman_ 
\u0001f483, _emoj_dancer_ 
\u0001f484, _emoj_lipstick_ 
\u0001f485, _emoj_nail_care_ 
\u0001f486, _emoj_massage_ 
\u0001f487, _emoj_haircut_ 
\u0001f488, _emoj_barber_ 
\u0001f489, _emoj_syringe_ 
\u0001f48a, _emoj_pill_ 
\u0001f48b, _emoj_kiss_ 
\u0001f48c, _emoj_love_letter_ 
\u0001f48d, _emoj_ring_ 
\u0001f48e, _emoj_gem_ 
\u0001f48f, _emoj_couplekiss_ 
\u0001f490, _emoj_bouquet_ 
\u0001f491, _emoj_couple_+_emoj_heart_ 
\u0001f492, _emoj_wedding_ 
\u0001f493, _emoj_heart_ 
\u0001f494, _emoj_broken_heart_ 
\u0001f495, _emoj_heart_+_emoj_heart_ 
\u0001f496, _emoj_heart_ 
\u0001f497, _emoj_heart_ 
\u0001f498, _emoj_cupid_ 
\u0001f499, _emoj_heart_ 
\u0001f49a, _emoj_heart_ 
\u0001f49b, _emoj_heart_ 
\u0001f49c, _emoj_heart_ 
\u0001f49d, _emoj_gift_+_emoj_heart_ 
\u0001f49e, _emoj_heart_+_emoj_heart_ 
\u0001f49f, _emoj_heart_ 
\u0001f4a0, _emoj_diamond_shape_with_a_dot_inside_ 
\u0001f4a1, _emoj_bulb_ 
\u0001f4a2, _emoj_anger_ 
\u0001f4a3, _emoj_bomb_ 
\u0001f4a4, _emoj_zzz_ 
\u0001f4a5, _emoj_boom_ 
\u0001f4a6, _emoj_sweat_drops_ 
\u0001f4a7, _emoj_droplet_ 
\u0001f4a8, _emoj_dash_ 
\u0001f4a9, _emoj_shit_ 
\u0001f4aa, _emoj_muscle_ 
\u0001f4ab, _emoj_dizzy_ 
\u0001f4ac, _emoj_speech_balloon_ 
\u0001f4ad, _emoj_thought_balloon_ 
\u0001f4ae, _emoj_white_flower_ 
\u0001f4af, _emoj_100_ 
\u0001f4b0, _emoj_moneybag_ 
\u0001f4b1, _emoj_currency_exchange_ 
\u0001f4b2, _emoj_heavy_dollar_sign_ 
\u0001f4b3, _emoj_credit_card_ 
\u0001f4b4, _emoj_yen_ 
\u0001f4b5, _emoj_dollar_ 
\u0001f4b6, _emoj_euro_ 
\u0001f4b7, _emoj_pound_ 
\u0001f4b8, _emoj_money_with_wings_ 
\u0001f4b9, _emoj_chart_ 
\u0001f4ba, _emoj_seat_ 
\u0001f4bb, _emoj_computer_ 
\u0001f4bc, _emoj_briefcase_ 
\u0001f4bd, _emoj_minidisc_ 
\u0001f4be, _emoj_floppy_disk_ 
\u0001f4bf, _emoj_cd_ 
\u0001f4c0, _emoj_dvd_ 
\u0001f4c1, _emoj_file_folder_ 
\u0001f4c2, _emoj_open_file_folder_ 
\u0001f4c3, _emoj_page_with_curl_ 
\u0001f4c4, _emoj_page_facing_up_ 
\u0001f4c5, _emoj_date_ 
\u0001f4c6, _emoj_calendar_ 
\u0001f4c7, _emoj_card_index_ 
\u0001f4c8, _emoj_chart_with_upwards_trend_ 
\u0001f4c9, _emoj_chart_with_downwards_trend_ 
\u0001f4ca, _emoj_bar_chart_ 
\u0001f4cb, _emoj_clipboard_ 
\u0001f4cc, _emoj_pushpin_ 
\u0001f4cd, _emoj_round_pushpin_ 
\u0001f4ce, _emoj_paperclip_ 
\u0001f4cf, _emoj_straight_ruler_ 
\u0001f4d0, _emoj_triangular_ruler_ 
\u0001f4d1, _emoj_bookmark_tabs_ 
\u0001f4d2, _emoj_ledger_ 
\u0001f4d3, _emoj_notebook_ 
\u0001f4d4, _emoj_notebook_with_decorative_cover_ 
\u0001f4d5, _emoj_closed_book_ 
\u0001f4d6, _emoj_open_book_ 
\u0001f4d7, _emoj_green_book_ 
\u0001f4d8, _emoj_blue_book_ 
\u0001f4d9, _emoj_orange_book_ 
\u0001f4da, _emoj_books_ 
\u0001f4db, _emoj_name_badge_ 
\u0001f4dc, _emoj_scroll_ 
\u0001f4dd, _emoj_memo_ 
\u0001f4de, _emoj_telephone_receiver_ 
\u0001f4df, _emoj_pager_ 
\u0001f4e0, _emoj_fax_ 
\u0001f4e1, _emoj_satellite_ 
\u0001f4e2, _emoj_loudspeaker_ 
\u0001f4e3, _emoj_mega_ 
\u0001f4e4, _emoj_outbox_tray_ 
\u0001f4e5, _emoj_inbox_tray_ 
\u0001f4e6, _emoj_package_ 
\u0001f4e7, _emoj_e-mail_ 
\u0001f4e8, _emoj_incoming_envelope_ 
\u0001f4e9, _emoj_envelope_with_arrow_ 
\u0001f4ea, _emoj_mailbox_closed_ 
\u0001f4eb, _emoj_mailbox_ 
\u0001f4ec, _emoj_mailbox_with_mail_ 
\u0001f4ed, _emoj_mailbox_with_no_mail_ 
\u0001f4ee, _emoj_postbox_ 
\u0001f4ef, _emoj_postal_horn_ 
\u0001f4f0, _emoj_newspaper_ 
\u0001f4f1, _emoj_iphone_ 
\u0001f4f2, _emoj_calling_ 
\u0001f4f3, _emoj_vibration_mode_ 
\u0001f4f4, _emoj_mobile_phone_off_ 
\u0001f4f5, _emoj_no_mobile_phones_ 
\u0001f4f6, _emoj_signal_strength_ 
\u0001f4f7, _emoj_camera_ 
\u0001f4f9, _emoj_video_camera_ 
\u0001f4fa, _emoj_tv_ 
\u0001f4fb, _emoj_radio_ 
\u0001f4fc, _emoj_vhs_ 
\u0001f500, _emoj_twisted_rightwards_arrows_ 
\u0001f501, _emoj_repeat_ 
\u0001f502, _emoj_repeat_one_ 
\u0001f503, _emoj_arrows_clockwise_ 
\u0001f504, _emoj_arrows_counterclockwise_ 
\u0001f505, _emoj_low_brightness_ 
\u0001f506, _emoj_high_brightness_ 
\u0001f507, _emoj_mute_ 
\u0001f508, _emoj_speaker_ 
\u0001f509, _emoj_sound_ 
\u0001f50a, _emoj_loud_sound_ 
\u0001f50b, _emoj_battery_ 
\u0001f50c, _emoj_electric_plug_ 
\u0001f50d, _emoj_mag_ 
\u0001f50e, _emoj_mag_right_ 
\u0001f50f, _emoj_lock_with_ink_pen_ 
\u0001f510, _emoj_closed_lock_with_key_ 
\u0001f511, _emoj_key_ 
\u0001f512, _emoj_lock_ 
\u0001f513, _emoj_unlock_ 
\u0001f514, _emoj_bell_ 
\u0001f515, _emoj_no_bell_ 
\u0001f516, _emoj_bookmark_ 
\u0001f517, _emoj_link_ 
\u0001f518, _emoj_radio_button_ 
\u0001f519, _emoj_back_ 
\u0001f51a, _emoj_end_ 
\u0001f51b, _emoj_on_ 
\u0001f51c, _emoj_soon_ 
\u0001f51d, _emoj_top_ 
\u0001f51e, _emoj_underage_ 
\u0001f51f, _emoj_keycap_ten_ 
\u0001f520, _emoj_capital_abcd_ 
\u0001f521, _emoj_abcd_ 
\u0001f522, _emoj_1234_ 
\u0001f523, _emoj_symbols_ 
\u0001f524, _emoj_abc_ 
\u0001f525, _emoj_fire_ 
\u0001f526, _emoj_flashlight_ 
\u0001f527, _emoj_wrench_ 
\u0001f528, _emoj_hammer_ 
\u0001f529, _emoj_nut_and_bolt_ 
\u0001f52a, _emoj_hocho_ 
\u0001f52b, _emoj_gun_ 
\u0001f52c, _emoj_microscope_ 
\u0001f52d, _emoj_telescope_ 
\u0001f52e, _emoj_crystal_ball_ 
\u0001f52f, _emoj_six_pointed_star_ 
\u0001f530, _emoj_beginner_ 
\u0001f531, _emoj_trident_ 
\u0001f532, _emoj_black_square_button_ 
\u0001f533, _emoj_white_square_button_ 
\u0001f534, _emoj_red_circle_ 
\u0001f535, _emoj_large_blue_circle_ 
